"id";"name";"parentid";"mdsval";"lastapperance"
"1082";\N;"255";"264_41164";"2012-11-03 06:00:03"
"1083";\N;"255";"264_41172";"2012-11-03 06:00:03"
"1084";"PORTUGALIA";"3";"31_138";"2012-11-05 15:00:10"
"1085";\N;"255";"264_41170";"2012-11-05 15:00:10"
"1086";\N;"255";"264_41168";"2012-11-05 05:00:02"
"1087";\N;"255";"264_41169";"2012-11-05 05:00:02"
"1088";\N;"255";"264_41174";"2012-11-03 06:00:03"
"1089";"SOLENZARA";"0";"7201:";"2012-11-03 06:00:02"
"1090";"SOLENZARA";"1089";"7201_7151";"2012-11-03 06:00:02"
"1091";"GRUZJA - AZERBEJDŻAN - ARMENIA";"0";"41136:";"2012-11-03 06:00:02"
"1092";"INDIE - LADAKH - KASZMIR";"0";"41140:";"2012-11-03 06:00:02"
"1093";"SZW/FIN/NOR/DAN";"0";"41150:";"2012-11-03 06:00:02"
"1094";"MAGLIANO IN TOSCANA (GR.)";"0";"10829:";"2012-11-03 06:00:02"
"1095";"MAGLIANO IN TOSCANA (GR.)";"1094";"10829_10524";"2012-11-03 06:00:02"
"1096";\N;"1081";"41132_41133";"2012-11-03 06:00:02"
"1097";"ETIOPIA ( PÓŁNOC I POŁUDNIE )";"0";"41134:";"2012-11-05 15:00:10"
"1098";\N;"1097";"41134_41135";"2012-11-03 06:00:02"
"1099";"SAN DONATO IN FRONZANO";"0";"7771:";"2012-11-03 06:00:02"
"1100";"SAN DONATO IN FRONZANO";"1099";"7771_7667";"2012-11-03 06:00:02"
"1101";"SURINAM-GUJANA-GUJANA FRANCUSKA";"0";"41152:";"2012-11-03 06:00:02"
"1102";"COGOLETO";"0";"7822:";"2012-11-03 06:00:02"
"1103";"COGOLETO";"1102";"7822_7716";"2012-11-03 06:00:02"
"1104";"KOLUMBIA(+ WYSPA SAN ANDRES)";"0";"41142:";"2012-11-03 06:00:02"
"1105";"ROSJA (MOSKWA - PETERSBURG) DLA KONESERÓW";"0";"41149:";"2012-11-03 06:00:02"
"1106";"DRAMALJ";"1105";"41149_1554";"2012-11-03 06:00:02"
"1107";"IMPRUNETA";"0";"8325:";"2012-11-03 06:00:02"
"1108";"IMPRUNETA";"1107";"8325_8189";"2012-11-03 06:00:02"
"1109";"TAJWAN-HONGKONG-MACAU + WYSPA HAINAN";"0";"41138:";"2012-11-03 06:00:02"
"1110";"TURCJA (+WYPOCZYNEK)";"0";"41156:";"2012-11-03 06:00:02"
"1111";"MALI-BURKINA FASO-BENIN";"0";"41144:";"2012-11-03 06:00:02"
"1112";"AUSTRIA-SŁOWENIA-CHO";"0";"41128:";"2012-11-05 15:00:01"
"1113";"LUCCA";"0";"8320:";"2012-11-04 06:00:02"
"1114";"LUCCA";"1113";"8320_8184";"2012-11-04 06:00:02"
"1115";"DESENZANO";"0";"8789:";"2012-11-03 06:00:02"
"1116";"DESENZANO";"1115";"8789_1677";"2012-11-03 06:00:02"
"1117";\N;"0";"41122:";"2012-11-03 06:00:02"
"1118";"EVIA";"90";"14_2302";"2012-11-05 15:00:01"
"1119";"CASTIGLIONCELLO";"0";"9184:";"2012-11-03 06:00:02"
"1120";"CASTIGLIONCELLO";"1119";"9184_8966";"2012-11-03 06:00:02"
"1121";"BADALONA";"0";"7451:";"2012-11-03 06:00:02"
"1122";"BADALONA";"1121";"7451_7375";"2012-11-03 06:00:02"
"1123";"TAJWAN - HONGKONG - MACAU";"0";"41154:";"2012-11-03 06:00:02"
"1124";\N;"0";"41124:";"2012-11-05 15:00:11"
"1125";"BLACK SEA";"1124";"41124_41125";"2012-11-05 15:00:11"
"1126";\N;"0";"41126:";"2012-11-05 15:00:01"
"1127";"PORTO VECCHIO CEDEX";"0";"38688:";"2012-11-04 06:00:02"
"1128";"PORTO VECCHIO CEDEX";"1127";"38688_38689";"2012-11-04 06:00:02"
"1129";"PORTO";"0";"7687:";"2012-11-04 06:00:02"
"1130";"PORTO";"1129";"7687_3544";"2012-11-04 06:00:02"
"1131";"CALVI";"0";"7684:";"2012-11-03 06:00:02"
"1132";"CALVI";"1131";"7684_7583";"2012-11-03 06:00:02"
"1133";"BONIFACIO";"0";"7191:";"2012-11-03 06:00:02"
"1134";"BONIFACIO";"1133";"7191_7141";"2012-11-03 06:00:02"
"1135";\N;"0";"42276:";"2012-11-05 15:00:11"
